input_curvature,geometry,edge_weight_variance,mi_stats,distance_stats,gromov_delta_range,mean_distance_range,filename
11.0,hyperbolic,,{},"{'mean_distance': np.float64(8.431911534373652), 'std_distance': np.float64(1.2519042482700997), 'max_distance': np.float64(11.344540901656767), 'min_distance': np.float64(6.589701486061217), 'distance_range': np.float64(4.7548394155955505), 'distance_variance': np.float64(1.5672642468367233)}",[],[],results_n7_geomH_curv11_ibm_brisbane_BKIKAQ.json
11.0,hyperbolic,,"{'mean_mi': np.float64(0.09999999999999998), 'std_mi': np.float64(2.7755575615628914e-17), 'max_mi': np.float64(0.1), 'min_mi': np.float64(0.1), 'mi_range': np.float64(0.0), 'mi_variance': np.float64(7.703719777548943e-34)}","{'mean_distance': np.float64(2.0), 'std_distance': np.float64(0.0), 'max_distance': np.float64(2.0), 'min_distance': np.float64(2.0), 'distance_range': np.float64(0.0), 'distance_variance': np.float64(0.0)}",[],[],results_n7_geomH_curv11_ibm_brisbane_NFG1GW.json
11.0,hyperbolic,,{},"{'mean_distance': np.float64(7.800165763007512), 'std_distance': np.float64(1.8042887059858501), 'max_distance': np.float64(12.199466846589145), 'min_distance': np.float64(5.108890301276297), 'distance_range': np.float64(7.090576545312848), 'distance_variance': np.float64(3.2554577345480933)}",[],[],results_n7_geomH_curv11_ibm_brisbane_NWHEWI.json
11.0,hyperbolic,,"{'mean_mi': np.float64(0.09999999999999998), 'std_mi': np.float64(2.7755575615628914e-17), 'max_mi': np.float64(0.1), 'min_mi': np.float64(0.1), 'mi_range': np.float64(0.0), 'mi_variance': np.float64(7.703719777548943e-34)}","{'mean_distance': np.float64(2.0), 'std_distance': np.float64(0.0), 'max_distance': np.float64(2.0), 'min_distance': np.float64(2.0), 'distance_range': np.float64(0.0), 'distance_variance': np.float64(0.0)}",[],[],results_n7_geomH_curv11_ibm_brisbane_P106NG.json
12.0,hyperbolic,,{},{},[],[],results_n7_geomH_curv12_ibm_brisbane_2LY1M6.json
12.0,hyperbolic,,{},{},[],[],results_n7_geomH_curv12_ibm_brisbane_AO6PDR.json
12.0,hyperbolic,,"{'mean_mi': np.float64(0.10181085420647139), 'std_mi': np.float64(0.003038848344330223), 'max_mi': np.float64(0.10936729988736735), 'min_mi': np.float64(0.1), 'mi_range': np.float64(0.009367299887367342), 'mi_variance': np.float64(9.234599259838538e-06)}","{'mean_distance': np.float64(1998850.8913075307), 'std_distance': np.float64(1033847.4198374964), 'max_distance': np.float64(4113251.992102834), 'min_distance': np.float64(27603.28575095127), 'distance_range': np.float64(4085648.706351883), 'distance_variance': np.float64(1068840487504.6484)}",[],[],results_n7_geomH_curv12_ibm_brisbane_B7HGPX.json
12.0,hyperbolic,,{},{},[],[],results_n7_geomH_curv12_ibm_brisbane_DTVZWQ.json
12.0,hyperbolic,,{},{},[],[],results_n7_geomH_curv12_ibm_brisbane_J9B1F4.json
12.0,hyperbolic,,"{'mean_mi': np.float64(0.10181085420647139), 'std_mi': np.float64(0.003038848344330223), 'max_mi': np.float64(0.10936729988736735), 'min_mi': np.float64(0.1), 'mi_range': np.float64(0.009367299887367342), 'mi_variance': np.float64(9.234599259838538e-06)}","{'mean_distance': np.float64(1998850.8913075307), 'std_distance': np.float64(1033847.4198374964), 'max_distance': np.float64(4113251.992102834), 'min_distance': np.float64(27603.28575095127), 'distance_range': np.float64(4085648.706351883), 'distance_variance': np.float64(1068840487504.6484)}",[],[],results_n7_geomH_curv12_ibm_brisbane_N9E9C6.json
12.0,hyperbolic,,{},{},[],[],results_n7_geomH_curv12_ibm_brisbane_O9OGP1.json
12.0,hyperbolic,,{},{},[],[],results_n7_geomH_curv12_ibm_brisbane_RTXYYO.json
12.0,hyperbolic,,{},{},[],[],results_n7_geomH_curv12_ibm_brisbane_X98JKF.json
12.0,hyperbolic,,"{'mean_mi': np.float64(0.09999999999999998), 'std_mi': np.float64(2.7755575615628914e-17), 'max_mi': np.float64(0.1), 'min_mi': np.float64(0.1), 'mi_range': np.float64(0.0), 'mi_variance': np.float64(7.703719777548943e-34)}","{'mean_distance': np.float64(1998850.8913075307), 'std_distance': np.float64(1033847.4198374964), 'max_distance': np.float64(4113251.992102834), 'min_distance': np.float64(27603.28575095127), 'distance_range': np.float64(4085648.706351883), 'distance_variance': np.float64(1068840487504.6484)}",[],[],results_n7_geomH_curv12_ibm_brisbane_ZW7YZA.json
12.0,hyperbolic,,{},{},[],[],results_n7_geomH_curv12_simulator_07INLB.json
12.0,hyperbolic,,{},{},[],[],results_n7_geomH_curv12_simulator_2N39IS.json
12.0,hyperbolic,,{},{},[],[],results_n7_geomH_curv12_simulator_3Z11OO.json
12.0,hyperbolic,,{},{},[],[],results_n7_geomH_curv12_simulator_9ADYHS.json
12.0,hyperbolic,,{},{},[],[],results_n7_geomH_curv12_simulator_G4D4T2.json
12.0,hyperbolic,,{},{},[],[],results_n7_geomH_curv12_simulator_GL8XEE.json
12.0,hyperbolic,,"{'mean_mi': np.float64(0.14575227208365765), 'std_mi': np.float64(0.2291024889309814), 'max_mi': np.float64(0.9582548830967008), 'min_mi': np.float64(2.220446049250313e-15), 'mi_range': np.float64(0.9582548830966986), 'mi_variance': np.float64(0.05248795043437045)}","{'mean_distance': np.float64(2.524960898055221), 'std_distance': np.float64(1.5706985888518405), 'max_distance': np.float64(4.973521723911758), 'min_distance': np.float64(0.17970165326454718), 'distance_range': np.float64(4.793820070647211), 'distance_variance': np.float64(2.4670940570211632)}",[],[],results_n7_geomH_curv12_simulator_HRRGVY.json
12.0,hyperbolic,,{},{},[],[],results_n7_geomH_curv12_simulator_OLW52P.json
12.0,hyperbolic,,{},{},[],[],results_n7_geomH_curv12_simulator_ZHDIUB.json
13.0,hyperbolic,,{},{},[],[],results_n7_geomH_curv13_ibm_brisbane_0TU7YU.json
13.0,hyperbolic,,{},{},[],[],results_n7_geomH_curv13_ibm_brisbane_18O9BU.json
13.0,hyperbolic,,"{'mean_mi': np.float64(0.09999999999999998), 'std_mi': np.float64(2.7755575615628914e-17), 'max_mi': np.float64(0.1), 'min_mi': np.float64(0.1), 'mi_range': np.float64(0.0), 'mi_variance': np.float64(7.703719777548943e-34)}","{'mean_distance': np.float64(115895093.0152171), 'std_distance': np.float64(180714945.14175034), 'max_distance': np.float64(588408582.2700831), 'min_distance': np.float64(0.04999999999995458), 'distance_range': np.float64(588408582.2200831), 'distance_variance': np.float64(3.2657891397585836e+16)}",[],[],results_n7_geomH_curv13_ibm_brisbane_KET9WR.json
13.0,hyperbolic,,{},{},[],[],results_n7_geomH_curv13_ibm_brisbane_N1C2HG.json
13.0,hyperbolic,,"{'mean_mi': np.float64(0.10444181827394873), 'std_mi': np.float64(0.0030805056728083666), 'max_mi': np.float64(0.10986886936600518), 'min_mi': np.float64(0.10005522117123603), 'mi_range': np.float64(0.009813648194769153), 'mi_variance': np.float64(9.489515200204527e-06)}","{'mean_distance': np.float64(115895093.0152171), 'std_distance': np.float64(180714945.14175034), 'max_distance': np.float64(588408582.2700831), 'min_distance': np.float64(0.04999999999995458), 'distance_range': np.float64(588408582.2200831), 'distance_variance': np.float64(3.2657891397585836e+16)}",[],[],results_n7_geomH_curv13_ibm_brisbane_OD1J56.json
